Models,classes,shape_bias
vit-b32 pretrained,cat,0.57143
vit-b32 pretrained,truck,0.66667
vit-b32 pretrained,boat,0.35714
vit-b32 pretrained,clock,0.00000
vit-b32 pretrained,elephant,0.00000
vit-b32 pretrained,airplane,
vit-b32 pretrained,car,0.00000
vit-b32 pretrained,bicycle,0.00000
vit-b32 pretrained,knife,0.50000
vit-b32 pretrained,keyboard,
vit-b32 pretrained,oven,
vit-b32 pretrained frozen OOD,bird,0.97133
vit-b32 pretrained frozen OOD,dog,0.94751
vit-b32 pretrained frozen OOD,chair,1.00000
vit-b32 pretrained frozen OOD,bear,0.98675
vit-b32 pretrained frozen OOD,bottle,0.98819
vit-b32 pretrained frozen OOD,cat,0.97727
vit-b32 pretrained frozen OOD,truck,0.98722
vit-b32 pretrained frozen OOD,boat,0.98131
vit-b32 pretrained frozen OOD,clock,0.97248
vit-b32 pretrained frozen OOD,elephant,1.00000
vit-b32 pretrained frozen OOD,airplane,1.00000
vit-b32 pretrained frozen OOD,car,1.00000
vit-b32 pretrained frozen OOD,bicycle,1.00000
vit-b32 pretrained frozen OOD,knife,1.00000
vit-b32 pretrained frozen OOD,keyboard,1.00000
vit-b32 pretrained frozen OOD,oven,1.00000
